Run,BioProject,BioSample,DATASTORE filetype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Reef_Site,Library Name,Organism,Sample Name
SRR28497447,PRJNA1093451,SAMN40654707,"fastq,run.zq,sra",SRX24099587,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A44,Agaricia agaricites,A44.fastq
SRR28497448,PRJNA1093451,SAMN40654706,"run.zq,fastq,sra",SRX24099586,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A43,Agaricia agaricites,A43.fastq
SRR28497449,PRJNA1093451,SAMN40654705,"fastq,sra,run.zq",SRX24099585,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A42,Agaricia agaricites,A42.fastq
SRR28497450,PRJNA1093451,SAMN40654704,"sra,fastq,run.zq",SRX24099584,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A41,Agaricia agaricites,A41.fastq
SRR28497451,PRJNA1093451,SAMN40654703,"sra,run.zq,fastq",SRX24099583,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A40,Agaricia agaricites,A40.fastq
SRR28497452,PRJNA1093451,SAMN40654702,"fastq,sra,run.zq",SRX24099582,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A39,Agaricia agaricites,A39.fastq
SRR28497453,PRJNA1093451,SAMN40654701,"sra,run.zq,fastq",SRX24099581,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A37,Agaricia agaricites,A37.fastq
SRR28497454,PRJNA1093451,SAMN40654700,"run.zq,fastq,sra",SRX24099580,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A36,Agaricia agaricites,A36.fastq
SRR28497455,PRJNA1093451,SAMN40654820,"sra,run.zq,fastq",SRX24099579,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P79,Porites astreoides,P79.fastq
SRR28497456,PRJNA1093451,SAMN40654819,"run.zq,fastq,sra",SRX24099578,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P78,Porites astreoides,P78.fastq
SRR28497457,PRJNA1093451,SAMN40654818,"run.zq,fastq,sra",SRX24099577,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P77,Porites astreoides,P77.fastq
SRR28497458,PRJNA1093451,SAMN40654629,"run.zq,fastq,sra",SRX24099576,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O29,Orbicella faveolata,O29.fastq
SRR28497459,PRJNA1093451,SAMN40654817,"run.zq,fastq,sra",SRX24099575,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P76,Porites astreoides,P76.fastq
SRR28497460,PRJNA1093451,SAMN40654816,"sra,run.zq,fastq",SRX24099574,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P75,Porites astreoides,P75.fastq
SRR28497461,PRJNA1093451,SAMN40654815,"run.zq,sra,fastq",SRX24099573,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P74,Porites astreoides,P74.fastq
SRR28497462,PRJNA1093451,SAMN40654814,"run.zq,sra,fastq",SRX24099572,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P73,Porites astreoides,P73.fastq
SRR28497463,PRJNA1093451,SAMN40654813,"sra,fastq,run.zq",SRX24099571,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P72,Porites astreoides,P72.fastq
SRR28497464,PRJNA1093451,SAMN40654812,"sra,run.zq,fastq",SRX24099570,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P71,Porites astreoides,P71.fastq
SRR28497465,PRJNA1093451,SAMN40654811,"sra,run.zq,fastq",SRX24099569,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P70,Porites astreoides,P70.fastq
SRR28497466,PRJNA1093451,SAMN40654810,"run.zq,sra,fastq",SRX24099568,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P69,Porites astreoides,P69.fastq
SRR28497467,PRJNA1093451,SAMN40654809,"fastq,run.zq,sra",SRX24099567,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P68,Porites astreoides,P68.fastq
SRR28497468,PRJNA1093451,SAMN40654808,"fastq,sra,run.zq",SRX24099566,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P66,Porites astreoides,P66.fastq
SRR28497469,PRJNA1093451,SAMN40654628,"run.zq,sra,fastq",SRX24099565,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O27,Orbicella faveolata,O27.fastq
SRR28497470,PRJNA1093451,SAMN40654610,"run.zq,sra,fastq",SRX24099564,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O3,Orbicella faveolata,O3.fastq
SRR28497471,PRJNA1093451,SAMN40654807,"sra,run.zq,fastq",SRX24099563,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P65,Porites astreoides,P65.fastq
SRR28497472,PRJNA1093451,SAMN40654806,"fastq,run.zq,sra",SRX24099562,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P64,Porites astreoides,P64.fastq
SRR28497473,PRJNA1093451,SAMN40654805,"sra,run.zq,fastq",SRX24099561,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P63,Porites astreoides,P63.fastq
SRR28497474,PRJNA1093451,SAMN40654804,"sra,fastq,run.zq",SRX24099560,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P62,Porites astreoides,P62.fastq
SRR28497475,PRJNA1093451,SAMN40654803,"sra,fastq,run.zq",SRX24099559,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P61,Porites astreoides,P61.fastq
SRR28497476,PRJNA1093451,SAMN40654802,"sra,run.zq,fastq",SRX24099558,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P60,Porites astreoides,P60.fastq
SRR28497477,PRJNA1093451,SAMN40654801,"sra,run.zq,fastq",SRX24099557,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P59,Porites astreoides,P59.fastq
SRR28497478,PRJNA1093451,SAMN40654800,"sra,fastq,run.zq",SRX24099556,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P58,Porites astreoides,P58.fastq
SRR28497479,PRJNA1093451,SAMN40654799,"sra,run.zq,fastq",SRX24099555,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P57,Porites astreoides,P57.fastq
SRR28497480,PRJNA1093451,SAMN40654798,"run.zq,sra,fastq",SRX24099554,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P56,Porites astreoides,P56.fastq
SRR28497481,PRJNA1093451,SAMN40654627,"sra,fastq,run.zq",SRX24099553,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O26,Orbicella faveolata,O26.fastq
SRR28497482,PRJNA1093451,SAMN40654797,"run.zq,fastq,sra",SRX24099552,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P55,Porites astreoides,P55.fastq
SRR28497483,PRJNA1093451,SAMN40654796,"fastq,run.zq,sra",SRX24099551,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P54,Porites astreoides,P54.fastq
SRR28497484,PRJNA1093451,SAMN40654795,"sra,fastq,run.zq",SRX24099550,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P53,Porites astreoides,P53.fastq
SRR28497485,PRJNA1093451,SAMN40654794,"sra,fastq,run.zq",SRX24099549,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P52,Porites astreoides,P52.fastq
SRR28497486,PRJNA1093451,SAMN40654793,"sra,fastq,run.zq",SRX24099548,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P51,Porites astreoides,P51.fastq
SRR28497487,PRJNA1093451,SAMN40654699,"sra,run.zq,fastq",SRX24099547,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A35,Agaricia agaricites,A35.fastq
SRR28497488,PRJNA1093451,SAMN40654698,"run.zq,sra,fastq",SRX24099546,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A34,Agaricia agaricites,A34.fastq
SRR28497489,PRJNA1093451,SAMN40654617,"run.zq,sra,fastq",SRX24099545,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O11,Orbicella faveolata,O11.fastq
SRR28497490,PRJNA1093451,SAMN40654697,"sra,fastq,run.zq",SRX24099544,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A33,Agaricia agaricites,A33.fastq
SRR28497491,PRJNA1093451,SAMN40654696,"run.zq,sra,fastq",SRX24099543,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A32,Agaricia agaricites,A32.fastq
SRR28497492,PRJNA1093451,SAMN40654695,"fastq,run.zq,sra",SRX24099542,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A31,Agaricia agaricites,A31.fastq
SRR28497493,PRJNA1093451,SAMN40654694,"run.zq,sra,fastq",SRX24099541,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A30,Agaricia agaricites,A30.fastq
SRR28497494,PRJNA1093451,SAMN40654693,"fastq,run.zq,sra",SRX24099540,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A29,Agaricia agaricites,A29.fastq
SRR28497495,PRJNA1093451,SAMN40654692,"sra,run.zq,fastq",SRX24099539,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A28,Agaricia agaricites,A28.fastq
SRR28497496,PRJNA1093451,SAMN40654691,"sra,run.zq,fastq",SRX24099538,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A27,Agaricia agaricites,A27.fastq
SRR28497497,PRJNA1093451,SAMN40654690,"fastq,sra,run.zq",SRX24099537,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A26,Agaricia agaricites,A26.fastq
SRR28497498,PRJNA1093451,SAMN40654689,"run.zq,sra,fastq",SRX24099536,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A22,Agaricia agaricites,A22.fastq
SRR28497499,PRJNA1093451,SAMN40654688,"fastq,run.zq,sra",SRX24099535,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,A21,Agaricia agaricites,A21.fastq
SRR28497500,PRJNA1093451,SAMN40654616,"sra,fastq,run.zq",SRX24099534,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O10,Orbicella faveolata,O10.fastq
SRR28497501,PRJNA1093451,SAMN40654687,"fastq,run.zq,sra",SRX24099533,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A20,Agaricia agaricites,A20.fastq
SRR28497502,PRJNA1093451,SAMN40654686,"run.zq,fastq,sra",SRX24099532,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A19,Agaricia agaricites,A19.fastq
SRR28497503,PRJNA1093451,SAMN40654685,"fastq,sra,run.zq",SRX24099531,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A18,Agaricia agaricites,A18.fastq
SRR28497504,PRJNA1093451,SAMN40654684,"sra,run.zq,fastq",SRX24099530,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A17,Agaricia agaricites,A17.fastq
SRR28497505,PRJNA1093451,SAMN40654683,"run.zq,sra,fastq",SRX24099529,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A15,Agaricia agaricites,A15.fastq
SRR28497506,PRJNA1093451,SAMN40654682,"fastq,sra,run.zq",SRX24099528,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A14,Agaricia agaricites,A14.fastq
SRR28497507,PRJNA1093451,SAMN40654681,"run.zq,sra,fastq",SRX24099527,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A13,Agaricia agaricites,A13.fastq
SRR28497508,PRJNA1093451,SAMN40654680,"run.zq,fastq,sra",SRX24099526,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A12,Agaricia agaricites,A12.fastq
SRR28497509,PRJNA1093451,SAMN40654679,"run.zq,fastq,sra",SRX24099525,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A11,Agaricia agaricites,A11.fastq
SRR28497510,PRJNA1093451,SAMN40654678,"fastq,run.zq,sra",SRX24099524,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A4,Agaricia agaricites,A4.fastq
SRR28497511,PRJNA1093451,SAMN40654615,"sra,fastq,run.zq",SRX24099523,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O9,Orbicella faveolata,O9.fastq
SRR28497512,PRJNA1093451,SAMN40654677,"fastq,sra,run.zq",SRX24099522,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A3,Agaricia agaricites,A3.fastq
SRR28497513,PRJNA1093451,SAMN40654676,"sra,run.zq,fastq",SRX24099521,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A2,Agaricia agaricites,A2.fastq
SRR28497514,PRJNA1093451,SAMN40654675,"fastq,run.zq,sra",SRX24099520,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,A1,Agaricia agaricites,A1.fastq
SRR28497515,PRJNA1093451,SAMN40654674,"sra,run.zq,fastq",SRX24099519,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,O100,Orbicella faveolata,O100.fastq
SRR28497516,PRJNA1093451,SAMN40654673,"fastq,sra,run.zq",SRX24099518,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,O99,Orbicella faveolata,O99.fastq
SRR28497517,PRJNA1093451,SAMN40654672,"fastq,sra,run.zq",SRX24099517,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,O98,Orbicella faveolata,O98.fastq
SRR28497518,PRJNA1093451,SAMN40654671,"run.zq,fastq,sra",SRX24099516,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,O97,Orbicella faveolata,O97.fastq
SRR28497519,PRJNA1093451,SAMN40654792,"fastq,sra,run.zq",SRX24099515,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P50,Porites astreoides,P50.fastq
SRR28497520,PRJNA1093451,SAMN40654791,"fastq,sra,run.zq",SRX24099514,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P49,Porites astreoides,P49.fastq
SRR28497521,PRJNA1093451,SAMN40654790,"fastq,run.zq,sra",SRX24099513,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P48,Porites astreoides,P48.fastq
SRR28497522,PRJNA1093451,SAMN40654789,"sra,fastq,run.zq",SRX24099512,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P47,Porites astreoides,P47.fastq
SRR28497523,PRJNA1093451,SAMN40654788,"run.zq,sra,fastq",SRX24099511,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P46,Porites astreoides,P46.fastq
SRR28497524,PRJNA1093451,SAMN40654626,"run.zq,sra,fastq",SRX24099510,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O25,Orbicella faveolata,O25.fastq
SRR28497525,PRJNA1093451,SAMN40654787,"run.zq,fastq,sra",SRX24099509,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P45,Porites astreoides,P45.fastq
SRR28497526,PRJNA1093451,SAMN40654786,"run.zq,sra,fastq",SRX24099508,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P43,Porites astreoides,P43.fastq
SRR28497527,PRJNA1093451,SAMN40654785,"fastq,run.zq,sra",SRX24099507,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P42,Porites astreoides,P42.fastq
SRR28497528,PRJNA1093451,SAMN40654784,"fastq,run.zq,sra",SRX24099506,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,P41,Porites astreoides,P41.fastq
SRR28497529,PRJNA1093451,SAMN40654783,"run.zq,sra,fastq",SRX24099505,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,P40,Porites astreoides,P40.fastq
SRR28497530,PRJNA1093451,SAMN40654782,"run.zq,sra,fastq",SRX24099504,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,P39,Porites astreoides,P39.fastq
SRR28497531,PRJNA1093451,SAMN40654781,"run.zq,fastq,sra",SRX24099503,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,P38,Porites astreoides,P38.fastq
SRR28497532,PRJNA1093451,SAMN40654780,"fastq,run.zq,sra",SRX24099502,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,P37,Porites astreoides,P37.fastq
SRR28497533,PRJNA1093451,SAMN40654779,"fastq,sra,run.zq",SRX24099501,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,P36,Porites astreoides,P36.fastq
SRR28497534,PRJNA1093451,SAMN40654778,"run.zq,sra,fastq",SRX24099500,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,P35,Porites astreoides,P35.fastq
SRR28497535,PRJNA1093451,SAMN40654625,"fastq,sra,run.zq",SRX24099499,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O24,Orbicella faveolata,O24.fastq
SRR28497536,PRJNA1093451,SAMN40654777,"run.zq,sra,fastq",SRX24099498,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,P34,Porites astreoides,P34.fastq
SRR28497537,PRJNA1093451,SAMN40654776,"run.zq,sra,fastq",SRX24099497,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,P33,Porites astreoides,P33.fastq
SRR28497538,PRJNA1093451,SAMN40654775,"fastq,run.zq,sra",SRX24099496,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,P32,Porites astreoides,P32.fastq
SRR28497539,PRJNA1093451,SAMN40654774,"sra,run.zq,fastq",SRX24099495,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,P31,Porites astreoides,P31.fastq
